FID,STATEFP,COUNTYFP,COUNTYNUM,FIPS,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CBSA_TITLE,MSA_TYPE,METRO_DIVISION,CSA_TITLE,MSA_COUNTY_TYPE_1,SHAPE_Length,SHAPE_Area
4,31,109,109,31109,835876,31109,Lancaster,Lancaster County,6,H1,G4020,339,30700,,A,2169287528,22832516,40.7835474,-96.6886584,"Lincoln, NE",Metropolitan Statistical Area,,"Lincoln-Beatrice, NE",Central,1.94338052,0.233861981
6,72,85,085,72085,1804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748364,32509,18.1871483,-65.871189,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Bayamón, PR",Central,0.489266987,0.007496635
7,46,99,099,46099,1265772,46099,Minnehaha,Minnehaha County,6,H1,G4020,,43620,,A,2089691730,18198496,43.6674723,-96.7957261,"Sioux Falls, SD",Metropolitan Statistical Area,,,Central,2.050525001,0.235256025
11,39,63,063,39063,1074044,39063,Hancock,Hancock County,6,H1,G4020,534,22300,,A,1376094842,6075215,41.0004711,-83.6660335,"Findlay, OH",Micropolitan Statistical Area,,"Toledo-Findlay-Tiffin, OH",Central,1.615461303,0.147932436
12,48,189,189,48189,1383880,48189,Hale,Hale County,6,H1,G4020,352,38380,,A,2602109438,246678,34.0684364,-101.8228879,"Plainview, TX",Micropolitan Statistical Area,,"Lubbock-Plainview-Levelland, TX",Central,2.018332106,0.254157485
14,48,11,011,48011,1383791,48011,Armstrong,Armstrong County,6,H1,G4020,108,11100,,A,2354581675,12219583,34.964179,-101.3566363,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Outlying,1.944938152,0.233601364
15,39,3,003,39003,1074015,39003,Allen,Allen County,6,H1,G4020,338,30620,,A,1042479885,11259523,40.7716274,-84.1061032,"Lima, OH",Metropolitan Statistical Area,,"Lima-Van Wert-Celina, OH",Central,1.587689307,0.112394701
16,13,189,189,13189,348794,13189,McDuffie,McDuffie County,6,H1,G4020,,12260,,A,666848710,23114025,33.4796231,-82.4787331,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,,,Outlying,1.477138164,0.066932507
17,55,111,111,55111,1581115,55111,Sauk,Sauk County,6,H1,G4020,357,12660,,A,2153686396,45692629,43.428001,-89.9433184,"Baraboo, WI",Micropolitan Statistical Area,,"Madison-Janesville-Beloit, WI",Central,2.334484409,0.244475229
20,42,7,007,42007,1214112,42007,Beaver,Beaver County,6,H1,G4020,430,38300,,A,1125904407,24162728,40.6841401,-80.3507209,"Pittsburgh, PA",Metropolitan Statistical Area,,"Pittsburgh-New Castle-Weirton, PA-OH-WV",Central,1.422194891,0.122507516
