ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
8,COLORADO,CO,Adams,8001,"Adams County, Colorado",1166.256942,497115,0,171038,217,164353,655,56588,3844,11746,772,28897,378,54079,1789,49181,46,135444,81,51985,1792,17937,1054,245773,214,30291,1538,26856,939,10900,494,8858,666,7794,546,4040,546,11.5,0.8,4.4,0.3,28897,378,17,0.6,9.9,0.1,27.2,0,10.5,0.4,10.9,0.6,49.4,0,6.6,0.3,15.7,0.5,6.4,0.3,5.4,0.4,4.7,0.3,0.8,0.1,0.4444,0.4603,0.4762,0.9365,2.3174,0.6508,0,0.9524,0.3333,0.9524,2.2381,0.6349,0.9524,0.9524,1.9048,0.9841,0.8254,0.3492,0.9524,0.5238,0.2381,2.8889,0.6508,9.3492,0.7937,0,0,0,1,1,0,1,0,1,2,1,1,2,0,0,1,0,0,1,6,54543,2429,11.1,0.5,413081
8,COLORADO,CO,Alamosa,8003,"Alamosa County, Colorado",722.576715,16444,0,6936,104,6153,209,3635,620,708,257,21328,1792,1287,245,2113,36,3932,46,2948,332,387,137,8504,44,640,254,451,146,1113,166,196,101,506,178,1089,245,23.7,4.1,9.3,3.3,21328,1792,13.5,2.5,12.8,0.2,23.9,0.3,18.4,2,6.3,2.2,51.7,0.3,4.2,1.7,6.5,2.1,16,2.4,3.2,1.7,8.2,2.9,6.6,1.5,0.9524,0.9365,0.9048,0.8254,3.6191,0.9365,0.2063,0.7619,0.7619,0.3968,2.1269,0.5873,0.9683,0.8413,1.8096,0.9524,0.619,0.8413,0.7937,0.8571,0.9048,4.0159,1,11.5715,0.9841,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5,2237,488,14,3,16662
8,COLORADO,CO,Arapahoe,8005,"Arapahoe County, Colorado",797.9309172,636671,0,248618,350,237559,1050,56802,2741,15522,983,38972,442,32895,1245,78627,33,153460,0,56951,1411,20725,1049,250026,384,24496,1383,58123,1538,2518,302,6869,576,11799,629,5433,880,9,0.4,4.4,0.3,38972,442,7.6,0.3,12.3,0.1,24.1,0,9,0.2,8.7,0.4,39.3,0.1,4.1,0.2,23.4,0.6,1,0.1,2.9,0.2,5,0.3,0.9,0.1,0.2381,0.4603,0.1905,0.4286,1.3175,0.2857,0.1587,0.7778,0.2222,0.7937,1.9524,0.4762,0.8095,0.8095,1.619,0.8413,0.9048,0.0317,0.6984,0.619,0.2857,2.5396,0.4603,7.4285,0.4921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,51661,2358,8.2,0.4,560593
8,COLORADO,CO,Archuleta,8007,"Archuleta County, Colorado",1350.086257,12908,0,9228,46,5670,301,1370,363,358,150,31035,2612,781,175,3168,49,2209,40,1856,262,195,74,3018,28,118,107,300,122,1048,192,225,120,65,50,164,41,10.7,2.8,5.8,2.5,31035,2612,8,1.8,24.5,0.4,17.1,0.3,14.5,2,3.4,1.3,23.4,0.2,1,0.9,3.3,1.3,11.4,2.1,4,2.1,1.1,0.9,1.3,0.3,0.3492,0.6667,0.3968,0.4444,1.8571,0.4762,0.8254,0.2222,0.5714,0.0952,1.7142,0.3651,0.5714,0.2857,0.8571,0.4127,0.4127,0.619,0.8571,0,0.3492,2.238,0.2381,6.6664,0.4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,281,11.1,2.2,10352
8,COLORADO,CO,Baca,8009,"Baca County, Colorado",2554.991586,3563,0,2254,40,1642,79,661,113,41,19,23862,1836,398,72,923,25,739,8,729,99,103,36,525,12,89,63,34,20,257,61,25,21,100,35,96,77,19.2,3.3,2.5,1.1,23862,1836,15.2,2.7,25.9,0.7,20.7,0.2,21.1,2.7,6.3,2.2,14.7,0.3,2.6,1.9,1.5,0.9,11.4,2.7,1.5,1.3,6.1,2.1,2.7,2.2,0.9048,0.1111,0.8254,0.8889,2.7302,0.746,0.873,0.5238,0.8889,0.3968,2.6825,0.8254,0.2698,0.6508,0.9206,0.4286,0.2222,0.619,0.2698,0.7778,0.6984,2.5872,0.4762,8.9205,0.6984,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,234,66,6.8,1.9,2480
8,COLORADO,CO,Bent,8011,"Bent County, Colorado",1512.846146,5809,0,2258,126,1744,158,912,215,119,59,14777,1766,646,120,1005,43,894,0,1013,151,176,74,2127,75,121,74,13,12,298,73,35,39,167,60,1873,278,22.9,4.9,7.2,3.4,14777,1766,14.2,2.6,17.3,0.7,15.4,0,25.4,3.2,10.1,4.2,36.6,1.3,2.2,1.3,0.6,0.6,13.2,3.1,2,2.3,9.6,3.3,32.2,4.8,0.9365,0.8095,1,0.8413,3.5873,0.9206,0.4921,0.0635,0.9841,0.9048,2.4445,0.6984,0.7778,0.619,1.3968,0.6825,0.1111,0.7302,0.3651,0.9524,0.9841,3.1429,0.8889,10.5715,0.8889,1,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,1,1,2,6,379,124,9.5,3,5033
8,COLORADO,CO,Boulder,8013,"Boulder County, Colorado",726.3699076,321030,0,134326,297,125894,675,38546,1850,8716,627,43831,833,10380,685,42068,68,62925,46,25747,1137,8338,684,71227,172,5927,674,23720,967,3962,398,2080,295,6707,550,11616,640,12.5,0.6,4.8,0.3,43831,833,4.9,0.3,13.1,0.1,19.6,0,8.1,0.4,6.6,0.5,22.2,0.1,1.9,0.2,17.7,0.7,2.9,0.3,1.7,0.2,5.3,0.4,3.6,0.2,0.5238,0.5238,0.0794,0.2381,1.3651,0.3016,0.254,0.4286,0.1429,0.5079,1.3334,0.1905,0.5079,0.5873,1.0952,0.5714,0.873,0.127,0.3016,0.6667,0.7937,2.762,0.6032,6.5557,0.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16064,1050,5,0.3,321368
8,COLORADO,CO,Broomfield,8014,"Broomfield County, Colorado",33.0035341,66120,0,27647,83,26721,255,3296,643,1372,215,47016,1883,1460,305,8499,86,15692,67,5395,429,1364,216,15124,228,975,266,6529,362,743,136,470,158,821,142,297,165,5,1,3.6,0.6,47016,1883,3.2,0.7,12.9,0.1,23.7,0.1,8.2,0.7,5.1,0.8,22.9,0.3,1.6,0.4,23.6,1.3,2.7,0.5,1.8,0.6,3.1,0.5,0.4,0.2,0.0635,0.3016,0.0476,0.0952,0.5079,0.0635,0.2222,0.746,0.1587,0.254,1.3809,0.2381,0.5556,0.4603,1.0159,0.5238,0.9206,0.1111,0.3175,0.3492,0.1746,1.873,0.2222,4.7777,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3075,574,4.7,0.9,62140
8,COLORADO,CO,Chaffee,8015,"Chaffee County, Colorado",1013.407978,19164,0,10875,157,7958,415,1807,464,246,129,29365,1882,1070,252,4670,86,2979,99,3032,330,490,182,2888,67,110,105,285,126,1061,189,78,53,485,167,1314,347,10.1,2.6,2.8,1.4,29365,1882,7.1,1.7,24.4,0.4,15.5,0.5,16.9,1.8,6.2,2.3,15.1,0.3,0.6,0.6,2.6,1.2,9.8,1.7,1,0.7,6.1,2,6.9,1.8,0.2857,0.1905,0.4444,0.3651,1.2857,0.254,0.8095,0.0794,0.6667,0.3651,1.9207,0.4286,0.3016,0.1587,0.4603,0.2063,0.381,0.5238,0.127,0.7778,0.9206,2.7302,0.5714,6.3969,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1864,432,10.4,2.4,18985
8,COLORADO,CO,Cheyenne,8017,"Cheyenne County, Colorado",1778.275373,2039,170,931,77,742,78,228,98,68,46,25234,3091,125,43,245,59,692,130,262,54,35,22,460,242,30,51,6,14,122,36,6,13,16,15,41,30,11.5,4.7,7.5,5,25234,3091,9.9,3.3,12,3,33.9,5.7,13.1,2.9,4.7,3,22.6,11.7,1.6,2.8,0.6,1.5,13.1,3.8,0.8,1.9,2.2,2,2,1.5,0.4444,0.8254,0.6825,0.5556,2.5079,0.6825,0.1111,1,0.4921,0.1746,1.7778,0.381,0.5397,0.4603,1,0.5079,0.1111,0.7143,0.0794,0.1587,0.5556,1.6191,0.1587,6.9048,0.4286,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,224,86,11.2,4.2,848
