CFIPS,YEAR,AGE,COUNTY,MALE,FEMALE,TOTAL,TYPE
1,2017,0 to 1,Adams,"7,294","6,995","14,289",Estimate
1,2017,1 to 4,Adams,"14,659","14,044","28,702",Estimate
1,2017,5 to 14,Adams,"38,563","36,620","75,184",Estimate
1,2017,15 to 24,Adams,"35,736","34,222","69,959",Estimate
1,2017,25 to 34,Adams,"43,054","42,077","85,132",Estimate
3,2017,0 to 1,Alamosa,206,196,402,Estimate
3,2017,1 to 4,Alamosa,458,438,898,Estimate
3,2017,5 to 14,Alamosa,"1,195","1,166","2,362",Estimate
3,2017,15 to 24,Alamosa,"1,468","1,460","2,927",Estimate
3,2017,25 to 34,Alamosa,"1,049",934,"1,984",Estimate
5,2017,0 to 1,Arapahoe,"8,228","7,883","16,112",Estimate
5,2017,1 to 4,Arapahoe,"16,823","16,114","32,938",Estimate
5,2017,5 to 14,Arapahoe,"44,249","42,082","86,329",Estimate
5,2017,15 to 24,Arapahoe,"43,612","41,328","84,941",Estimate
5,2017,25 to 34,Arapahoe,"50,382","50,165","100,546",Estimate
7,2017,0 to 1,Archuleta,134,128,262,Estimate
7,2017,1 to 4,Archuleta,247,238,485,Estimate
7,2017,5 to 14,Archuleta,754,682,"1,437",Estimate
7,2017,15 to 24,Archuleta,675,622,"1,295",Estimate
7,2017,25 to 34,Archuleta,553,551,"1,103",Estimate
9,2017,0 to 1,Baca,40,39,79,Estimate
9,2017,1 to 4,Baca,81,78,158,Estimate
9,2017,5 to 14,Baca,210,220,425,Estimate
9,2017,15 to 24,Baca,200,177,375,Estimate
9,2017,25 to 34,Baca,171,160,329,Estimate
11,2017,0 to 1,Bent,41,40,81,Estimate
11,2017,1 to 4,Bent,82,80,164,Estimate
11,2017,5 to 14,Bent,277,276,553,Estimate
11,2017,15 to 24,Bent,478,243,722,Estimate
11,2017,25 to 34,Bent,809,232,"1,045",Estimate
13,2017,0 to 1,Boulder,"2,805","2,684","5,490",Estimate
13,2017,1 to 4,Boulder,"6,091","5,831","11,922",Estimate
13,2017,5 to 14,Boulder,"18,596","17,848","36,445",Estimate
13,2017,15 to 24,Boulder,"30,107","27,647","57,755",Estimate
13,2017,25 to 34,Boulder,"22,754","20,781","43,535",Estimate
14,2017,0 to 1,Broomfield,744,713,"1,456",Estimate
14,2017,1 to 4,Broomfield,"1,559","1,498","3,055",Estimate
14,2017,5 to 14,Broomfield,"4,581","4,484","9,066",Estimate
14,2017,15 to 24,Broomfield,"4,489","4,297","8,787",Estimate
14,2017,25 to 34,Broomfield,"5,688","5,260","10,947",Estimate
15,2017,0 to 1,Chaffee,148,142,290,Estimate
15,2017,1 to 4,Chaffee,317,304,621,Estimate
15,2017,5 to 14,Chaffee,971,932,"1,902",Estimate
15,2017,15 to 24,Chaffee,"1,401",834,"2,236",Estimate
15,2017,25 to 34,Chaffee,"1,073",877,"1,949",Estimate
17,2017,0 to 1,Cheyenne,25,23,47,Estimate
17,2017,1 to 4,Cheyenne,57,53,109,Estimate
17,2017,5 to 14,Cheyenne,130,138,261,Estimate
17,2017,15 to 24,Cheyenne,103,96,201,Estimate
17,2017,25 to 34,Cheyenne,89,87,174,Estimate
19,2017,0 to 1,Clear Creek,82,78,160,Estimate
19,2017,1 to 4,Clear Creek,166,160,326,Estimate
19,2017,5 to 14,Clear Creek,511,472,983,Estimate
19,2017,15 to 24,Clear Creek,441,443,880,Estimate
19,2017,25 to 34,Clear Creek,453,383,836,Estimate
21,2017,0 to 1,Conejos,100,95,195,Estimate
21,2017,1 to 4,Conejos,228,219,446,Estimate
21,2017,5 to 14,Conejos,619,635,"1,255",Estimate
21,2017,15 to 24,Conejos,482,534,"1,016",Estimate
21,2017,25 to 34,Conejos,434,409,841,Estimate
