"CFIPS","YEAR","AGE","COUNTY","MALE","FEMALE","TOTAL","TYPE",
"1","2014","0 to 65","Adams","223,168","215,695","438,860","Estimate",
"1","2014","65 to 110","Adams","19,980","25,147","45,126","Estimate",
"1","2015","0 to 65","Adams","227,430","219,919","447,357","Estimate",
"1","2015","65 to 110","Adams","20,978","26,215","47,192","Estimate",
"1","2016","0 to 65","Adams","230,206","222,789","452,994","Estimate",
"1","2016","65 to 110","Adams","21,870","27,164","49,034","Estimate",
"1","2017","0 to 65","Adams","232,143","224,913","457,059","Estimate",
"1","2017","65 to 110","Adams","22,808","28,207","51,012","Estimate",
"1","2018","0 to 65","Adams","234,739","227,585","462,325","Estimate",
"1","2018","65 to 110","Adams","23,943","29,398","53,343","Estimate",
"1","2019","0 to 65","Adams","237,917","230,844","468,769","Forecast",
"1","2019","65 to 110","Adams","24,917","30,469","55,388","Forecast",
"3","2014","0 to 65","Alamosa","7,063","6,874","13,942","Estimate",
"3","2014","65 to 110","Alamosa","917","1,089","2,003","Estimate",
"3","2015","0 to 65","Alamosa","7,079","6,908","13,988","Estimate",
"3","2015","65 to 110","Alamosa","944","1,097","2,040","Estimate",
"3","2016","0 to 65","Alamosa","7,113","6,961","14,079","Estimate",
"3","2016","65 to 110","Alamosa","982","1,133","2,114","Estimate",
"3","2017","0 to 65","Alamosa","7,116","6,969","14,085","Estimate",
"3","2017","65 to 110","Alamosa","1,008","1,163","2,171","Estimate",
"3","2018","0 to 65","Alamosa","7,132","6,981","14,113","Estimate",
"3","2018","65 to 110","Alamosa","1,039","1,206","2,250","Estimate",
"3","2019","0 to 65","Alamosa","7,162","7,007","14,174","Forecast",
"3","2019","65 to 110","Alamosa","1,076","1,258","2,338","Forecast",
"5","2014","0 to 65","Arapahoe","274,967","277,592","552,556","Estimate",
"5","2014","65 to 110","Arapahoe","31,788","40,582","72,370","Estimate",
"5","2015","0 to 65","Arapahoe","279,219","281,701","560,931","Estimate",
"5","2015","65 to 110","Arapahoe","33,487","42,470","75,959","Estimate",
"5","2016","0 to 65","Arapahoe","281,857","284,144","565,998","Estimate",
"5","2016","65 to 110","Arapahoe","34,909","44,031","78,941","Estimate",
"5","2017","0 to 65","Arapahoe","283,583","285,518","569,101","Estimate",
"5","2017","65 to 110","Arapahoe","36,171","45,466","81,641","Estimate",
"5","2018","0 to 65","Arapahoe","285,732","287,465","573,196","Estimate",
"5","2018","65 to 110","Arapahoe","37,672","47,212","84,891","Estimate",
"5","2019","0 to 65","Arapahoe","287,315","288,760","576,076","Forecast",
"5","2019","65 to 110","Arapahoe","39,548","49,399","88,947","Forecast",
"7","2014","0 to 65","Archuleta","4,856","4,837","9,692","Estimate",
"7","2014","65 to 110","Archuleta","1,428","1,405","2,829","Estimate",
