"CFIPS","YEAR","AGE","COUNTY","MALE","FEMALE","TOTAL","TYPE",
"1","2014","0 to 110","Adams","241,364","238,853","480,213","Estimate",
"1","2015","0 to 110","Adams","246,547","244,131","490,685","Estimate",
"1","2016","0 to 110","Adams","250,199","247,924","498,122","Estimate",
"1","2017","0 to 110","Adams","253,014","251,056","504,069","Estimate",
"1","2018","0 to 110","Adams","256,635","254,836","511,474","Estimate",
"1","2019","0 to 110","Adams","260,775","259,092","519,877","Forecast",
"3","2014","0 to 110","Alamosa","7,893","7,875","15,771","Estimate",
"3","2015","0 to 110","Alamosa","7,939","7,929","15,868","Estimate",
"3","2016","0 to 110","Alamosa","8,007","8,008","16,018","Estimate",
"3","2017","0 to 110","Alamosa","8,036","8,036","16,072","Estimate",
"3","2018","0 to 110","Alamosa","8,089","8,090","16,184","Estimate",
"3","2019","0 to 110","Alamosa","8,155","8,171","16,334","Forecast",
"5","2014","0 to 110","Arapahoe","303,902","314,977","618,876","Estimate",
"5","2015","0 to 110","Arapahoe","309,814","320,879","630,705","Estimate",
"5","2016","0 to 110","Arapahoe","313,836","324,835","638,669","Estimate",
"5","2017","0 to 110","Arapahoe","316,729","327,552","644,285","Estimate",
"5","2018","0 to 110","Arapahoe","320,281","331,057","651,344","Estimate",
"5","2019","0 to 110","Arapahoe","323,616","334,441","658,058","Forecast",
"7","2014","0 to 110","Archuleta","6,152","6,103","12,250","Estimate",
"7","2015","0 to 110","Archuleta","6,226","6,189","12,411","Estimate",
"7","2016","0 to 110","Archuleta","6,432","6,414","12,849","Estimate",
"7","2017","0 to 110","Archuleta","6,666","6,666","13,324","Estimate",
"7","2018","0 to 110","Archuleta","6,868","6,878","13,738","Estimate",
"7","2019","0 to 110","Archuleta","6,967","6,997","13,961","Forecast",
"9","2014","0 to 110","Baca","1,776","1,802","3,580","Estimate",
"9","2015","0 to 110","Baca","1,754","1,790","3,549","Estimate",
"9","2016","0 to 110","Baca","1,745","1,777","3,520","Estimate",
"9","2017","0 to 110","Baca","1,757","1,785","3,538","Estimate",
"9","2018","0 to 110","Baca","1,756","1,785","3,547","Estimate",
"9","2019","0 to 110","Baca","1,752","1,773","3,531","Forecast",
"11","2014","0 to 110","Bent","3,727","2,051","5,766","Estimate",
"11","2015","0 to 110","Bent","3,776","2,085","5,870","Estimate",
"11","2016","0 to 110","Bent","3,610","2,029","5,633","Estimate",
"11","2017","0 to 110","Bent","3,722","2,106","5,836","Estimate",
"11","2018","0 to 110","Bent","3,711","2,106","5,819","Estimate",
"11","2019","0 to 110","Bent","3,713","2,119","5,833","Forecast",
"13","2014","0 to 110","Boulder","157,294","155,824","313,113","Estimate",
"13","2015","0 to 110","Boulder","160,266","158,744","319,008","Estimate",
"13","2016","0 to 110","Boulder","161,900","160,388","322,289","Estimate",
"13","2017","0 to 110","Boulder","162,471","160,997","323,464","Estimate",
"13","2018","0 to 110","Boulder","163,469","162,010","325,477","Estimate",
"13","2019","0 to 110","Boulder","164,962","163,543","328,508","Forecast",
"14","2014","0 to 110","Broomfield","30,665","31,012","61,669","Estimate",
"14","2015","0 to 110","Broomfield","32,214","32,543","64,770","Estimate",
"14","2016","0 to 110","Broomfield","33,050","33,356","66,406","Estimate",
"14","2017","0 to 110","Broomfield","33,885","34,219","68,105","Estimate",
"14","2018","0 to 110","Broomfield","34,563","34,893","69,453","Estimate",
"14","2019","0 to 110","Broomfield","35,431","35,713","71,138","Forecast",
"15","2014","0 to 110","Chaffee","9,777","8,686","18,466","Estimate",
"15","2015","0 to 110","Chaffee","9,838","8,753","18,590","Estimate",
"15","2016","0 to 110","Chaffee","10,085","9,005","19,096","Estimate",
"15","2017","0 to 110","Chaffee","10,350","9,278","19,630","Estimate",
"15","2018","0 to 110","Chaffee","10,543","9,482","20,028","Estimate",
"15","2019","0 to 110","Chaffee","10,644","9,596","20,238","Forecast",
"17","2014","0 to 110","Cheyenne","907","922","1,854","Estimate",
"17","2015","0 to 110","Cheyenne","905","914","1,833","Estimate",
"17","2016","0 to 110","Cheyenne","923","932","1,849","Estimate",
"17","2017","0 to 110","Cheyenne","930","936","1,852","Estimate",
"17","2018","0 to 110","Cheyenne","929","933","1,861","Estimate",
"17","2019","0 to 110","Cheyenne","921","936","1,861","Forecast",
"19","2014","0 to 110","Clear Creek","4,731","4,410","9,143","Estimate",
"19","2015","0 to 110","Clear Creek","4,804","4,494","9,293","Estimate",
"19","2016","0 to 110","Clear Creek","4,851","4,556","9,405","Estimate",
"19","2017","0 to 110","Clear Creek","4,961","4,666","9,626","Estimate",
"19","2018","0 to 110","Clear Creek","4,976","4,687","9,662","Estimate",
"19","2019","0 to 110","Clear Creek","4,996","4,728","9,723","Forecast",
"21","2014","0 to 110","Conejos","4,064","4,146","8,206","Estimate",
"21","2015","0 to 110","Conejos","3,980","4,060","8,044","Estimate",
"21","2016","0 to 110","Conejos","3,966","4,056","8,029","Estimate",
"21","2017","0 to 110","Conejos","4,018","4,107","8,122","Estimate",
"21","2018","0 to 110","Conejos","4,024","4,112","8,138","Estimate",
"21","2019","0 to 110","Conejos","4,027","4,106","8,136","Forecast",
"23","2014","0 to 110","Costilla","1,833","1,733","3,576","Estimate",
"23","2015","0 to 110","Costilla","1,841","1,747","3,584","Estimate",
"23","2016","0 to 110","Costilla","1,896","1,808","3,703","Estimate",
"23","2017","0 to 110","Costilla","1,930","1,843","3,764","Estimate",
"23","2018","0 to 110","Costilla","1,947","1,868","3,809","Estimate",
"23","2019","0 to 110","Costilla","1,948","1,878","3,821","Forecast",
"25","2014","0 to 110","Crowley","3,911","1,669","5,582","Estimate",
"25","2015","0 to 110","Crowley","3,897","1,690","5,587","Estimate",
"25","2016","0 to 110","Crowley","3,590","1,628","5,231","Estimate",
"25","2017","0 to 110","Crowley","3,935","1,836","5,781","Estimate",
"25","2018","0 to 110","Crowley","3,990","1,866","5,857","Estimate",
"25","2019","0 to 110","Crowley","4,006","1,875","5,887","Forecast",
"27","2014","0 to 110","Custer","2,219","2,121","4,330","Estimate",
"27","2015","0 to 110","Custer","2,259","2,171","4,427","Estimate",
"27","2016","0 to 110","Custer","2,329","2,250","4,573","Estimate",
